Feelings,Co-ordinates,Category
Absorbed,"(3,-4)",Pleasant Low Energy
Chilled,"(3,-5)",Pleasant Low Energy
hopeful,"(3,1)",Pleasant High Energy
involved,"(3,2)",Pleasant High Energy
touched,"(3,3)",Pleasant High Energy
stimulated,"(3,4)",Pleasant High Energy
Loving,"(4,-1)",Pleasant Low Energy
Affectionate,"(4,-2)",Pleasant Low Energy
Blessed,"(4,-3)",Pleasant Low Energy
trusting,"(4,-4)",Pleasant Low Energy
proud,"(4,2)",Pleasant High Energy
optimistic,"(4,3)",Pleasant High Energy
Ardent,"(4,4)",Pleasant High Energy
thrilled,"(4,4)",Pleasant High Energy
Alive,"(5,1)",Pleasant High Energy
Amazed,"(5,2)",Pleasant High Energy
Adventurous,"(5,3)",Pleasant High Energy
Delighted,"(5,4)",Pleasant High Energy
rapturous,"(5,5)",Pleasant High Energy
Aloof,,Unpleasant Low Energy
Beat,,Unpleasant Low Energy
Blue,,Unpleasant Low Energy
skeptical,,Unpleasant Low Energy
Disaffected,,Unpleasant Low Energy
Dull,,Unpleasant Low Energy
lazy,,Unpleasant Low Energy
sleepy,,Unpleasant Low Energy
Detached,,Unpleasant Low Energy
passive,,Unpleasant Low Energy
reluctant,,Unpleasant High Energy
unsteady,,Unpleasant High Energy
Displeased,,Unpleasant High Energy
uncomfortable,,Unpleasant High Energy
Disturbed,,Unpleasant High Energy
Edgy,,Unpleasant High Energy
Fidgety,,Unpleasant High Energy
sensitive,,Unpleasant High Energy
Agitated,,Unpleasant High Energy
Bewildered,,Unpleasant High Energy
impatient,,Unpleasant High Energy
Discouraged,,Unpleasant Low Energy
Cold,,Unpleasant Low Energy
Embarrassed,,Unpleasant Low Energy
Disenchanted,,Unpleasant Low Energy
spiritless,,Unpleasant Low Energy
unhappy,,Unpleasant Low Energy
listless,,Unpleasant Low Energy
Anxious,,Unpleasant High Energy
Disgruntled,,Unpleasant High Energy
Harried,,Unpleasant High Energy
troubled,,Unpleasant High Energy
Cross,,Unpleasant High Energy
vexed,,Unpleasant High Energy
Fearful,,Unpleasant High Energy
hostile,,Unpleasant High Energy
resentful,,Unpleasant High Energy
upset,,Unpleasant High Energy
uptight,,Unpleasant High Energy
vexed,,Unpleasant High Energy
Exasperated,,Unpleasant High Energy
jealous,,Unpleasant High Energy
shakey,,Unpleasant High Energy
rancourous,,Unpleasant High Energy
Downcast,,Unpleasant Low Energy
mopey,,Unpleasant Low Energy
Guilty,,Unpleasant Low Energy
Embittered,,Unpleasant Low Energy
Ashamed,,Unpleasant Low Energy
Bitter,,Unpleasant Low Energy
Gloomy,,Unpleasant Low Energy
Heavy,,Unpleasant Low Energy
helpless,,Unpleasant Low Energy
morose,,Unpleasant Low Energy
mournful,,Unpleasant Low Energy
sorrowful,,Unpleasant Low Energy
Chagrined,,Unpleasant Low Energy
Dismayed,,Unpleasant Low Energy
Disquieted,,Unpleasant High Energy
Distressed,,Unpleasant High Energy
hurt,,Unpleasant High Energy
mean,,Unpleasant High Energy
nettled,,Unpleasant High Energy
unnerved,,Unpleasant High Energy
Afraid,,Unpleasant High Energy
Alarmed,,Unpleasant High Energy
Frightened,,Unpleasant High Energy
Aggravated,,Unpleasant High Energy
Furious,,Unpleasant High Energy
startled,,Unpleasant High Energy
unglued,,Unpleasant High Energy
Broken-hearted,,Unpleasant Low Energy
wretched,,Unpleasant Low Energy
horrible,,Unpleasant Low Energy
repelled,,Unpleasant Low Energy
numb,,Unpleasant Low Energy
Blah,,Unpleasant Low Energy
puzzled,,Unpleasant High Energy
